nameStd,icd10
"Renal hypoplasia, unilateral",Q60.3
"Renal hypoplasia, bilateral",Q60.4
"Renal hypoplasia, unspecified",Q60.5
Potter's syndrome,Q60.6
Cystic kidney disease,Q61
Congenital obstructive defects of renal pelvis and congenital malformations of ureter,Q62
Other congenital malformations of kidney,Q63
"Lobulated, fused and horseshoe kidney",Q63.1
Ectopic kidney,Q63.2
Hyperplastic and giant kidney,Q63.3
Other specified congenital malformations of kidney,Q63.8
"Congenital malformation of kidney, unspecified",Q63.9
Other congenital malformations of urinary system,Q64
Exstrophy of urinary bladder,Q64.1
Congenital posterior urethral valves,Q64.2
Other atresia and stenosis of urethra and bladder neck,Q64.3
Malformation of urachus,Q64.4
Congenital absence of bladder and urethra,Q64.5
Congenital diverticulum of bladder,Q64.6
Other and unspecified congenital malformations of bladder and urethra,Q64.7
Other specified congenital malformations of urinary system,Q64.8
"Congenital malformation of urinary system, unspecified",Q64.9
Congenital deformities of hip,Q65
Congenital deformities of feet,Q66
"Congenital musculoskeletal deformities of head, face, spine and chest",Q67
Other congenital musculoskeletal deformities,Q68
Congenital deformity of finger(s) and hand,Q68.1
Congenital deformity of knee,Q68.2
Congenital bowing of femur,Q68.3
Congenital bowing of tibia and fibula,Q68.4
"Congenital bowing of long bones of leg, unspecified",Q68.5
Discoid meniscus,Q68.6
Other specified congenital musculoskeletal deformities,Q68.8
Polydactyly,Q69
Syndactyly,Q70
Reduction defects of upper limb,Q71
Reduction defects of lower limb,Q72
Reduction defects of unspecified limb,Q73
Other congenital malformations of limb(s),Q74
Congenital malformation of knee,Q74.1
"Other congenital malformations of lower limb(s), including pelvic girdle",Q74.2
Arthrogryposis multiplex congenita,Q74.3
Other specified congenital malformations of limb(s),Q74.8
Unspecified congenital malformation of limb(s),Q74.9
Other congenital malformations of skull and face bones,Q75
Craniofacial dysostosis,Q75.1
Hypertelorism,Q75.2
Macrocephaly,Q75.3
Mandibulofacial dysostosis,Q75.4
Oculomandibular dysostosis,Q75.5
Other specified congenital malformations of skull and face bones,Q75.8
"Congenital malformation of skull and face bones, unspecified",Q75.9
Congenital malformations of spine and bony thorax,Q76
Osteochondrodysplasia with defects of growth of tubular bones and spine,Q77
Other osteochondrodysplasias,Q78
Polyostotic fibrous dysplasia,Q78.1
Osteopetrosis,Q78.2
Progressive diaphyseal dysplasia,Q78.3
Enchondromatosis,Q78.4
Metaphyseal dysplasia,Q78.5
Multiple congenital exostoses,Q78.6
Other specified osteochondrodysplasias,Q78.8
"Osteochondrodysplasia, unspecified",Q78.9
"Congenital malformations of musculoskeletal system, not elsewhere classified",Q79
Congenital ichthyosis,Q80
Epidermolysis bullosa,Q81
Other congenital malformations of skin,Q82
Xeroderma pigmentosum,Q82.1
Mastocytosis,Q82.2
Incontinentia pigmenti,Q82.3
Ectodermal dysplasia (anhidrotic),Q82.4
Congenital non-neoplastic nevus,Q82.5
Congenital sacral dimple,Q82.6
Other specified congenital malformations of skin,Q82.8
"Congenital malformation of skin, unspecified",Q82.9
Congenital malformations of breast,Q83
Other congenital malformations of integument,Q84
"Congenital morphological disturbances of hair, not elsewhere classified",Q84.1
Other congenital malformations of hair,Q84.2
Anonychia,Q84.3
Congenital leukonychia,Q84.4
Enlarged and hypertrophic nails,Q84.5
Other congenital malformations of nails,Q84.6
Other specified congenital malformations of integument,Q84.8
"Congenital malformation of integument, unspecified",Q84.9
"Phakomatoses, not elsewhere classified",Q85
"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified",Q86
Other specified congenital malformation syndromes affecting multiple systems,Q87
Congenital malformation syndromes predominantly associated with short stature,Q87.1
Congenital malformation syndromes predominantly involving limbs,Q87.2
Congenital malformation syndromes involving early overgrowth,Q87.3
Marfan's syndrome,Q87.4
Other congenital malformation syndromes with other skeletal changes,Q87.5
"Other specified congenital malformation syndromes, not elsewhere classified",Q87.8
"Other congenital malformations, not elsewhere classified",Q89
Congenital malformations of adrenal gland,Q89.1
Congenital malformations of other endocrine glands,Q89.2
Situs inversus,Q89.3
Conjoined twins,Q89.4
"Multiple congenital malformations, not elsewhere classified",Q89.7
Other specified congenital malformations,Q89.8
"Congenital malformation, unspecified",Q89.9
Down syndrome,Q90
Trisomy 18 and Trisomy 13,Q91
"Other trisomies and partial trisomies of the autosomes, not elsewhere classified",Q92
"Whole chromosome trisomy, mosaicism (mitotic nondisjunction)",Q92.1
Partial trisomy,Q92.2
Duplications with other complex rearrangements,Q92.5
Marker chromosomes,Q92.6
Triploidy and polyploidy,Q92.7
Other specified trisomies and partial trisomies of autosomes,Q92.8
"Trisomy and partial trisomy of autosomes, unspecified",Q92.9
"Monosomies and deletions from the autosomes, not elsewhere classified",Q93
"Balanced rearrangements and structural markers, not elsewhere classified",Q95
Turner's syndrome,Q96
"Other sex chromosome abnormalities, female phenotype, not elsewhere classified",Q97
Female with more than three X chromosomes,Q97.1
"Mosaicism, lines with various numbers of X chromosomes",Q97.2
"Female with 46, XY karyotype",Q97.3
"Other specified sex chromosome abnormalities, female phenotype",Q97.8
"Sex chromosome abnormality, female phenotype, unspecified",Q97.9
"Other sex chromosome abnormalities, male phenotype, not elsewhere classified",Q98
"Klinefelter syndrome, male with more than two X chromosomes",Q98.1
"Other male with 46, XX karyotype",Q98.3
"Klinefelter syndrome, unspecified",Q98.4
"Karyotype 47, XYY",Q98.5
Male with structurally abnormal sex chromosome,Q98.6
Male with sex chromosome mosaicism,Q98.7
"Other specified sex chromosome abnormalities, male phenotype",Q98.8
"Sex chromosome abnormality, male phenotype, unspecified",Q98.9
"Other chromosome abnormalities, not elsewhere classified",Q99
"46, XX true hermaphrodite",Q99.1
Fragile X chromosome,Q99.2
Other specified chromosome abnormalities,Q99.8
"Chromosomal abnormality, unspecified",Q99.9
Abnormalities of heart beat,R00
Bradycardia,R00.1
Palpitations,R00.2
Cardiac murmurs and other cardiac sounds,R01
"Cardiac murmur, unspecified",R01.1
Other cardiac sounds,R01.2
"Abnormal blood-pressure reading, without diagnosis",R03
"Elevated blood-pressure reading, without diagnosis of hypertension",R03.0
Nonspecific low blood-pressure reading,R03.1
Hemorrhage from respiratory passages,R04
Epistaxis,R04.0
Hemorrhage from throat,R04.1
Hemoptysis,R04.2
Cough,R05
Abnormalities of breathing,R06
Dyspnea,R06.0
Hyperventilation,R06.4
Pain in throat and chest,R07
Pain in throat,R07.0
Chest pain on breathing,R07.1
"Chest pain, unspecified",R07.9
Other symptoms and signs involving the circulatory and respiratory system,R09
Pleurisy,R09.1
Respiratory arrest,R09.2
Abnormal sputum,R09.3
Other specified symptoms and signs involving the circulatory and respiratory systems,R09.8
Other specified symptoms and signs involving the circulatory and respiratory systems,R09.89
Abdominal and pelvic pain,R10
Unspecified abdominal pain,R10.9
Nausea and vomiting,R11
Nausea,R11.0
Vomiting,R11.1
Heartburn,R12
Aphagia and dysphagia,R13
Aphagia,R13.0
Dysphagia,R13.1
Flatulence and related conditions,R14
Fecal incontinence,R15
"Hepatomegaly and splenomegaly, not elsewhere classified",R16
Unspecified jaundice,R17
Ascites,R18
Other symptoms and signs involving the digestive system and abdomen,R19
Abnormal bowel sounds,R19.1
Visible peristalsis,R19.2
Abdominal rigidity,R19.3
Change in bowel habit,R19.4
Other fecal abnormalities,R19.5
Halitosis,R19.6
"Diarrhea, unspecified",R19.7
Other specified symptoms and signs involving the digestive system and abdomen,R19.8
Disturbances of skin sensation,R20
Other disturbances of skin sensation,R20.8
Rash and other nonspecific skin eruption,R21
"Localized swelling, mass and lump of skin and subcutaneous tissue",R22
Other skin changes,R23
Pallor,R23.1
Flushing,R23.2
Spontaneous ecchymoses,R23.3
Changes in skin texture,R23.4
Other skin changes,R23.8
Unspecified skin changes,R23.9
Abnormal involuntary movements,R25
"Tremor, unspecified",R25.1
Cramp and spasm,R25.2
Abnormalities of gait and mobility,R26
Other lack of coordination,R27
Other lack of coordination,R27.8
Unspecified lack of coordination,R27.9
Other symptoms and signs involving the nervous and musculoskeletal systems,R29
Meningismus,R29.1
Abnormal reflex,R29.2
Abnormal posture,R29.3
Clicking hip,R29.4
Transient paralysis,R29.5
Repeated falls,R29.6
National Institutes of Health Stroke Scale (NIHSS) score,R29.7
Other symptoms and signs involving the nervous and musculoskeletal systems,R29.8
Other symptoms and signs involving the nervous and musculoskeletal systems,R29.818
Unspecified symptoms and signs involving the nervous and musculoskeletal systems,R29.9
Pain associated with micturition,R30
Hematuria,R31
Gross hematuria,R31.0
Unspecified urinary incontinence,R32
Retention of urine,R33
Anuria and oliguria,R34
Polyuria,R35
Urethral discharge,R36
Other and unspecified symptoms and signs involving the genitourinary system,R39
Other difficulties with micturition,R39.1
Extrarenal uremia,R39.2
Other symptoms and signs involving the genitourinary system,R39.8
Unspecified symptoms and signs involving the genitourinary system,R39.9
"Somnolence, stupor and coma",R40
Stupor,R40.1
Coma,R40.2
Other symptoms and signs involving cognitive functions and awareness,R41
"Disorientation, unspecified",R41.0
Anterograde amnesia,R41.1
Retrograde amnesia,R41.2
Other amnesia,R41.3
Neurologic neglect syndrome,R41.4
Other symptoms and signs involving cognitive functions and awareness,R41.8
Unspecified symptoms and signs involving cognitive functions and awareness,R41.9
Dizziness and giddiness,R42
Disturbances of smell and taste,R43
Other symptoms and signs involving general sensations and perceptions,R44
Visual hallucinations,R44.1
Other hallucinations,R44.2
"Hallucinations, unspecified",R44.3
Other symptoms and signs involving general sensations and perceptions,R44.8
Unspecified symptoms and signs involving general sensations and perceptions,R44.9
Symptoms and signs involving emotional state,R45
Restlessness and agitation,R45.1
Unhappiness,R45.2
Demoralization and apathy,R45.3
Irritability and anger,R45.4
Other symptoms and signs involving emotional state,R45.84
Other symptoms and signs involving emotional state,R45.86
Other symptoms and signs involving emotional state,R45.87
Symptoms and signs involving appearance and behavior,R46
Strange and inexplicable behavior,R46.2
"Speech disturbances, not elsewhere classified",R47
Other speech disturbances,R47.8
"Dyslexia and other symbolic dysfunctions, not elsewhere classified",R48
Agnosia,R48.1
Apraxia,R48.2
Visual agnosia,R48.3
Other symbolic dysfunctions,R48.8
Unspecified symbolic dysfunctions,R48.9
Voice and resonance disorders,R49
Fever of other and unknown origin,R50
Drug induced fever,R50.2
Other specified fever,R50.8
"Fever, unspecified",R50.9
Headache,R51
"Pain, unspecified",R52
Malaise and fatigue,R53
Weakness,R53.1
Age-related physical debility,R54
Syncope and collapse,R55
"Convulsions, not elsewhere classified",R56
Unspecified convulsions,R56.9
"Shock, not elsewhere classified",R57
"Hemorrhage, not elsewhere classified",R58
Enlarged lymph nodes,R59
"Edema, not elsewhere classified",R60
Localized edema,R60.0
Generalized hyperhidrosis,R61
Lack of expected normal physiological development in childhood and adults,R62
Symptoms and signs concerning food and fluid intake,R63
Polydipsia,R63.1
Polyphagia,R63.2
Abnormal weight loss,R63.4
Abnormal weight gain,R63.5
Cachexia,R64
Symptoms and signs specifically associated with systemic inflammation and infection,R65
Other general symptoms and signs,R68
Nonspecific symptoms peculiar to infancy,R68.1
"Dry mouth, unspecified",R68.2
Clubbing of fingers,R68.3
Other general symptoms and signs,R68.8
"Illness, unspecified",R69
Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity,R70
Abnormality of red blood cells,R71
Elevated blood glucose level,R73
"Hyperglycemia, unspecified",R73.9
Abnormal serum enzyme levels,R74
Inconclusive laboratory evidence of human immunodeficiency virus [HIV],R75
Other abnormal immunological findings in serum,R76
Nonspecific reaction to test for tuberculosis,R76.1
Other specified abnormal immunological findings in serum,R76.8
"Abnormal immunological finding in serum, unspecified",R76.9
Other abnormalities of plasma proteins,R77
Abnormality of globulin,R77.1
Abnormality of alphafetoprotein,R77.2
Other specified abnormalities of plasma proteins,R77.8
"Abnormality of plasma protein, unspecified",R77.9
"Findings of drugs and other substances, not normally found in blood",R78
Finding of opiate drug in blood,R78.1
Finding of cocaine in blood,R78.2
Finding of hallucinogen in blood,R78.3
Finding of other drugs of addictive potential in blood,R78.4
Finding of other psychotropic drug in blood,R78.5
Finding of steroid agent in blood,R78.6
Finding of abnormal level of heavy metals in blood,R78.7
"Finding of other specified substances, not normally found in blood",R78.8
"Finding of unspecified substance, not normally found in blood",R78.9
Other abnormal findings of blood chemistry,R79
Abnormal coagulation profile,R79.1
Other specified abnormal findings of blood chemistry,R79.8
"Abnormal finding of blood chemistry, unspecified",R79.9
Proteinuria,R80
Glycosuria,R81
Other and unspecified abnormal findings in urine,R82
Myoglobinuria,R82.1
Biliuria,R82.2
Hemoglobinuria,R82.3
Acetonuria,R82.4
"Elevated urine levels of drugs, medicaments and biological substances",R82.5
Abnormal urine levels of substances chiefly nonmedicinal as to source,R82.6
Abnormal findings on microbiological examination of urine,R82.7
Abnormal findings on cytological and histological examination of urine,R82.8
Other and unspecified abnormal findings in urine,R82.9
Abnormal findings in cerebrospinal fluid,R83
Abnormal findings in specimens from respiratory organs and thorax,R84
Abnormal findings in specimens from digestive organs and abdominal cavity,R85
Abnormal findings in specimens from male genital organs,R86
Abnormal findings in specimens from female genital organs,R87
"Abnormal findings in specimens from other organs, systems and tissues",R89
"Abnormal level of hormones in specimens from other organs, systems and tissues",R89.1
"Abnormal level of other drugs, medicaments and biological substances in specimens from other organs, systems and tissues",R89.2
"Abnormal level of substances chiefly nonmedicinal as to source in specimens from other organs, systems and tissues",R89.3
"Abnormal immunological findings in specimens from other organs, systems and tissues",R89.4
"Abnormal microbiological findings in specimens from other organs, systems and tissues",R89.5
"Abnormal cytological findings in specimens from other organs, systems and tissues",R89.6
"Abnormal histological findings in specimens from other organs, systems and tissues",R89.7
"Other abnormal findings in specimens from other organs, systems and tissues",R89.8
"Unspecified abnormal finding in specimens from other organs, systems and tissues",R89.9
Abnormal findings on diagnostic imaging of central nervous system,R90
Abnormal findings on diagnostic imaging of lung,R91
Abnormal and inconclusive findings on diagnostic imaging of breast,R92
Abnormal findings on diagnostic imaging of other body structures,R93
Abnormal findings on diagnostic imaging of heart and coronary circulation,R93.1
Abnormal findings on diagnostic imaging of liver and biliary tract,R93.2
Abnormal findings on diagnostic imaging of other parts of digestive tract,R93.3
Abnormal findings on diagnostic imaging of urinary organs,R93.4
"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",R93.5
Abnormal findings on diagnostic imaging of limbs,R93.6
Abnormal findings on diagnostic imaging of other parts of musculoskeletal system,R93.7
Abnormal findings on diagnostic imaging of other specified body structures,R93.8
Diagnostic imaging inconclusive due to excess body fat of patient,R93.9
Abnormal results of function studies,R94
Sudden death,R96
Ill-defined and unknown cause of mortality,R99
Superficial injury of head,S00
Open wound of head,S01
Open wound of unspecified part of head,S01.93
Open wound of unspecified part of head,S01.94
Fracture of skull and facial bones,S02
Dislocation and sprain of joints and ligaments of head,S03
Injury of cranial nerve,S04
Injury of eye and orbit,S05
Penetrating wound of orbit with or without foreign body,S05.4
Penetrating wound with foreign body of eyeball,S05.5
Penetrating wound without foreign body of eyeball,S05.6
Intracranial injury,S06
Crushing injury of head,S07
Avulsion and traumatic amputation of part of head,S08
Other and unspecified injuries of head,S09
Injury of muscle and tendon of head,S09.1
Traumatic rupture of ear drum,S09.2
Other specified and unspecified injury of middle and inner ear,S09.3
Other specified injuries of head,S09.8
Unspecified injury of face and head,S09.9
Superficial injury of neck,S10
Open wound of neck,S11
Open wound of unspecified part of neck,S11.93
Open wound of unspecified part of neck,S11.94
Fracture of cervical vertebra and other parts of neck,S12
Fracture of second cervical vertebra,S12.1
Fracture of third cervical vertebra,S12.2
Fracture of fourth cervical vertebra,S12.3
Fracture of fifth cervical vertebra,S12.4
Fracture of sixth cervical vertebra,S12.5
Fracture of seventh cervical vertebra,S12.6
Fracture of other parts of neck,S12.8
"Fracture of neck, unspecified",S12.9
Dislocation and sprain of joints and ligaments at neck level,S13
Injury of nerves and spinal cord at neck level,S14
Injury of blood vessels at neck level,S15
"Injury of muscle, fascia and tendon at neck level",S16
Crushing injury of neck,S17
Other specified and unspecified injuries of neck,S19
Other specified injuries of neck,S19.8
Unspecified injury of neck,S19.9
Superficial injury of thorax,S20
Open wound of thorax,S21
Open wound of unspecified part of thorax,S21.93
Open wound of unspecified part of thorax,S21.94
"Fracture of rib(s), sternum and thoracic spine",S22
Fracture of thoracic vertebra,S22.002
Dislocation and sprain of joints and ligaments of thorax,S23
Injury of nerves and spinal cord at thorax level,S24
Injury of blood vessels of thorax,S25
Injury of heart,S26
Injury of other and unspecified intrathoracic organs,S27
Traumatic hemothorax,S27.1
Traumatic hemopneumothorax,S27.2
Other and unspecified injuries of lung,S27.3
Injury of bronchus,S27.4
Injury of thoracic trachea,S27.5
Injury of pleura,S27.6
Injury of other specified intrathoracic organs,S27.8
Injury of unspecified intrathoracic organ,S27.9
"Crushing injury of thorax, and traumatic amputation of part of thorax",S28
Other and unspecified injuries of thorax,S29
Other specified injuries of thorax,S29.8
Unspecified injury of thorax,S29.9
"Superficial injury of abdomen, lower back, pelvis and external genitals",S30
"Open wound of abdomen, lower back, pelvis and external genitals",S31
Open wound of abdominal wall without penetration into peritoneal cavity,S31.13
Open wound of abdominal wall without penetration into peritoneal cavity,S31.14
Open wound of abdominal wall with penetration into peritoneal cavity,S31.63
Open wound of abdominal wall with penetration into peritoneal cavity,S31.64
Fracture of lumbar spine and pelvis,S32
Fracture of other parts of pelvis,S32.811
Dislocation and sprain of joints and ligaments of lumbar spine and pelvis,S33
"Injury of lumbar and sacral spinal cord and nerves at abdomen, lower back and pelvis level",S34
"Injury of blood vessels at abdomen, lower back and pelvis level",S35
Injury of intra-abdominal organs,S36
Injury of urinary and pelvic organs,S37
"Crushing injury and traumatic amputation of abdomen, lower back, pelvis and external genitals",S38
"Other and unspecified injuries of abdomen, lower back, pelvis and external genitals",S39
"Other specified injuries of abdomen, lower back, pelvis and external genitals",S39.8
"Unspecified injury of abdomen, lower back, pelvis and external genitals",S39.9
"Unspecified injury of abdomen, lower back, pelvis and external genitals",S39.94XA
Superficial injury of shoulder and upper arm,S40
Open wound of shoulder and upper arm,S41
Open wound of shoulder,S41.03
Open wound of shoulder,S41.04
Open wound of upper arm,S41.13
Open wound of upper arm,S41.14
Fracture of shoulder and upper arm,S42
Fracture of clavicle,S42.0
Fracture of upper end of humerus,S42.2
Fracture of shaft of humerus,S42.3
Fracture of lower end of humerus,S42.4
Dislocation and sprain of joints and ligaments of shoulder girdle,S43
Injury of nerves at shoulder and upper arm level,S44
Injury of blood vessels at shoulder and upper arm level,S45
"Injury of muscle, fascia and tendon at shoulder and upper arm level",S46
Crushing injury of shoulder and upper arm,S47
Traumatic amputation of shoulder and upper arm,S48
Other and unspecified injuries of shoulder and upper arm,S49
Physeal fracture of lower end of humerus,S49.1
Other specified injuries of shoulder and upper arm,S49.8
Unspecified injury of shoulder and upper arm,S49.9
Superficial injury of elbow and forearm,S50
Open wound of elbow and forearm,S51
Fracture of forearm,S52
Dislocation and sprain of joints and ligaments of elbow,S53
Injury of nerves at forearm level,S54
Injury of blood vessels at forearm level,S55
"Injury of muscle, fascia and tendon at forearm level",S56
Crushing injury of elbow and forearm,S57
Traumatic amputation of elbow and forearm,S58
Other and unspecified injuries of elbow and forearm,S59
Physeal fracture of upper end of radius,S59.1
Physeal fracture of lower end of radius,S59.2
Other specified injuries of elbow and forearm,S59.8
Unspecified injury of elbow and forearm,S59.9
"Superficial injury of wrist, hand and fingers",S60
"Open wound of wrist, hand and fingers",S61
Fracture at wrist and hand level,S62
Unspecified fracture of wrist and hand,S62.90XB
Dislocation and sprain of joints and ligaments at wrist and hand level,S63
Subluxation and dislocation of wrist and hand joints,S63.096
Injury of nerves at wrist and hand level,S64
Injury of blood vessels at wrist and hand level,S65
"Injury of muscle, fascia and tendon at wrist and hand level",S66
"Crushing injury of wrist, hand and fingers",S67
"Traumatic amputation of wrist, hand and fingers",S68
Traumatic amputation of hand at wrist level,S68.4
"Other and unspecified injuries of wrist, hand and finger(s)",S69
"Other specified injuries of wrist, hand and finger(s)",S69.8
"Unspecified injury of wrist, hand and finger(s)",S69.9
Superficial injury of hip and thigh,S70
Open wound of hip and thigh,S71
Open wound of hip,S71.03
Open wound of hip,S71.04
Open wound of thigh,S71.13
Open wound of thigh,S71.14
Fracture of femur,S72
Dislocation and sprain of joint and ligaments of hip,S73
Injury of nerves at hip and thigh level,S74
Injury of blood vessels at hip and thigh level,S75
"Injury of muscle, fascia and tendon at hip and thigh level",S76
Crushing injury of hip and thigh,S77
Traumatic amputation of hip and thigh,S78
Other and unspecified injuries of hip and thigh,S79
Physeal fracture of lower end of femur,S79.1
Other specified injuries of hip and thigh,S79.8
Unspecified injury of hip and thigh,S79.9
Superficial injury of knee and lower leg,S80
Open wound of knee and lower leg,S81
"Fracture of lower leg, including ankle",S82
Fracture of upper end of tibia,S82.1
Fracture of shaft of tibia,S82.2
Fracture of lower end of tibia,S82.3
Fracture of shaft of fibula,S82.4
Dislocation and sprain of joints and ligaments of knee,S83
Injury of nerves at lower leg level,S84
Injury of blood vessels at lower leg level,S85
"Injury of muscle, fascia and tendon at lower leg level",S86
Achilles tendon rupture,S86.0
Crushing injury of lower leg,S87
Traumatic amputation of lower leg,S88
Other and unspecified injuries of lower leg,S89
Physeal fracture of lower end of tibia,S89.1
Physeal fracture of upper end of fibula,S89.2
Physeal fracture of lower end of fibula,S89.3
Other specified injuries of lower leg,S89.8
Unspecified injury of lower leg,S89.9
"Superficial injury of ankle, foot and toes",S90
"Open wound of ankle, foot and toes",S91
"Fracture of foot and toe, except ankle",S92
"Dislocation and sprain of joints and ligaments at ankle, foot and toe level",S93
Injury of nerves at ankle and foot level,S94
Injury of blood vessels at ankle and foot level,S95
Injury of muscle and tendon at ankle and foot level,S96
Crushing injury of ankle and foot,S97
Traumatic amputation of ankle and foot,S98
Other and unspecified injuries of ankle and foot,S99
Physeal fracture of metatarsal,S99.1
Physeal fracture of phalanx of toe,S99.2
Other specified injuries of ankle and foot,S99.8
Unspecified injury of ankle and foot,S99.9
Unspecified multiple injuries,T07
Injury of unspecified body region,T14
Unspecified injury,T14.91
Foreign body on external eye,T15
Foreign body in ear,T16
Foreign body in respiratory tract,T17
Foreign body in nostril,T17.1
"Foreign body in respiratory tract, part unspecified",T17.9
Foreign body in alimentary tract,T18
Foreign body in esophagus,T18.1
Foreign body in genitourinary tract,T19
"Burn and corrosion of head, face, and neck",T20
Burn and corrosion of trunk,T21
"Burn and corrosion of shoulder and upper limb, except wrist and hand",T22
Burn and corrosion of wrist and hand,T23
"Burn and corrosion of lower limb, except ankle and foot",T24
Burn and corrosion of ankle and foot,T25
Burn and corrosion confined to eye and adnexa,T26
Burn and corrosion of respiratory tract,T27
Burn and corrosion of other internal organs,T28
"Burn and corrosion, body region unspecified",T30
"Corrosion of unspecified body region, unspecified degree",T30.4
Burns classified according to extent of body surface involved,T31
Corrosions classified according to extent of body surface involved,T32
Superficial frostbite,T33
Superficial frostbite of other and unspecified sites,T33.9
Frostbite with tissue necrosis,T34
Frostbite with tissue necrosis of other and unspecified sites,T35.7
"Poisoning by, adverse effect of and underdosing of systemic antibiotics",T36
"Poisoning by, adverse effect of and underdosing of other systemic anti- infectives and antiparasitics",T37
"Poisoning by, adverse effect of and underdosing of hormones and their synthetic substitutes and antagonists, not elsewhere classified",T38
"Poisoning by, adverse effect of and underdosing of nonopioid analgesics, antipyretics and antirheumatics",T39
"Poisoning by, adverse effect of and underdosing of narcotics and psychodysleptics [hallucinogens]",T40
"Poisoning by, adverse effect of and underdosing of anesthetics and therapeutic gases",T41
"Poisoning by, adverse effect of and underdosing of antiepileptic, sedative- hypnotic and antiparkinsonism drugs",T42
"Poisoning by, adverse effect of and underdosing of psychotropic drugs, not elsewhere classified",T43
"Poisoning by, adverse effect of and underdosing of drugs primarily affecting the autonomic nervous system",T44
"Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified",T45
"Poisoning by, adverse effect of and underdosing of agents primarily affecting the cardiovascular system",T46
"Poisoning by, adverse effect of and underdosing of agents primarily affecting the gastrointestinal system",T47
"Poisoning by, adverse effect of and underdosing of agents primarily acting on smooth and skeletal muscles and the respiratory system",T48
"Poisoning by, adverse effect of and underdosing of topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinorlaryngological and dental drugs",T49
"Poisoning by, adverse effect of and underdosing of diuretics and other and unspecified drugs, medicaments and biological substances",T50
"Poisoning by, adverse effect of and underdosing of other and unspecified drugs, medicaments and biological substances",T50.9
"Poisoning by, adverse effect of and underdosing of other and unspecified drugs, medicaments and biological substances",T50.901
Toxic effect of alcohol,T51
Toxic effect of organic solvents,T52
Toxic effect of halogen derivatives of aliphatic and aromatic hydrocarbons,T53
Toxic effect of corrosive substances,T54
Toxic effect of soaps and detergents,T55
Toxic effect of metals,T56
Toxic effect of other inorganic substances,T57
Toxic effect of carbon monoxide,T58
"Toxic effect of other gases, fumes and vapors",T59
Toxic effect of pesticides,T60
Toxic effect of noxious substances eaten as seafood,T61
Toxic effect of other noxious substances eaten as food,T62
Toxic effect of ingested mushrooms,T62.0
Toxic effect of contact with venomous animals and plants,T63
Toxic effect of contact with unspecified venomous animal,T63.9
Toxic effect of aflatoxin and other mycotoxin food contaminants,T64
Toxic effect of other and unspecified substances,T65
"Radiation sickness, unspecified",T66
Effects of heat and light,T67
Hypothermia,T68
Other effects of reduced temperature,T69
Effects of air pressure and water pressure,T70
Asphyxiation,T71
Asphyxiation due to mechanical threat to breathing,T71.161
Effects of other deprivation,T73
"Adult and child abuse, neglect and other maltreatment, confirmed",T74
"Physical abuse, confirmed",T74.1
"Sexual abuse, confirmed",T74.2
Other and unspecified effects of other external causes,T75
Effects of lightning,T75.0
Electrocution,T75.4
"Adverse effects, not elsewhere classified",T78
"Anaphylactic shock, unspecified",T78.2
Other and unspecified allergy,T78.4
"Certain early complications of trauma, not elsewhere classified",T79
Traumatic compartment syndrome,T79.A0
"Complications following infusion, transfusion and therapeutic injection",T80
"Complications of procedures, not elsewhere classified",T81
"Disruption of wound, not elsewhere classified",T81.30
"Complications of cardiac and vascular prosthetic devices, implants and grafts",T82
"Complications of genitourinary prosthetic devices, implants and grafts",T83
"Complications of internal orthopedic prosthetic devices, implants and grafts",T84
"Complications of other internal prosthetic devices, implants and grafts",T85
Complications of transplanted organs and tissue,T86
Complications peculiar to reattachment and amputation,T87
"Other complications of surgical and medical care, not elsewhere classified",T88
Unspecified adverse effect of drug or medicament,T88.7
"Complication of surgical and medical care, unspecified",T88.9
Presumptive multi-drug resistance TB,U84.3
Fall due to ice and snow,W00
"Fall on same level from slipping, tripping and stumbling",W01
Other fall on same level due to collision with another person,W03
Fall while being carried or supported by other persons,W04
"Fall from non-moving wheelchair, nonmotorized scooter and motorized mobility scooter",W05
Fall from bed,W06
Fall from chair,W07
Fall from other furniture,W08
Fall on and from playground equipment,W09
Fall on and from stairs and steps,W10
Fall on and from ladder,W11
Fall on and from scaffolding,W12
"Fall from, out of or through building or structure",W13
Fall from tree,W14
Fall from cliff,W15
"Fall, jump or diving into water",W16
Other fall from one level to another,W17
"Other slipping, tripping and stumbling and falls",W18
Unspecified fall,W19
"Struck by thrown, projected or falling object",W20
Striking against or struck by sports equipment,W21
Striking against or struck by other objects,W22
"Caught, crushed, jammed or pinched in or between objects",W23
"Contact with lifting and transmission devices, not elsewhere classified",W24
Contact with sharp glass,W25
Contact with other sharp objects,W26
Contact with nonpowered hand tool,W27
Contact with powered lawn mower,W28
Contact with other powered hand tools and household machinery,W29
Contact with agricultural machinery,W30
Contact with other and unspecified machinery,W31
Accidental handgun discharge and malfunction,W32
"Accidental rifle, shotgun and larger firearm discharge and malfunction",W33
Accidental discharge and malfunction from other and unspecified firearms and guns,W34
Explosion and rupture of boiler,W35
Explosion and rupture of gas cylinder,W36
"Explosion and rupture of pressurized tire, pipe or hose",W37
